#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200675_at   929.7   P   0.023926
201786_s_at 2104.7  P   0.000732
211980_at   56.6    A   0.334473
208626_s_at 468.3   A   0.466064
212509_s_at 606.5   A   0.095215
214218_s_at 283.3   P   0.008057
217753_s_at 7303.4  P   0.000732
200747_s_at 130.3   A   0.696289
200820_at   124.9   A   0.780518
208662_s_at 642.7   P   0.010742
201304_at   163.3   P   0.030273
208620_at   4550.4  P   0.005859
217716_s_at 139.6   A   0.753906
200903_s_at 469.3   P   0.023926
201092_at   611.1   A   0.129639
213201_s_at 66.6    A   0.919434
200846_s_at 757.3   A   0.129639
207168_s_at 1746.8  P   0.001221
217822_at   736.6   A   0.366211
208723_at   783 A   0.129639
208745_at   364 A   0.366211
208728_s_at 831.5   M   0.056152
217225_x_at 1231.8  A   0.111572
200661_at   69.9    A   0.850342
200644_at   1289.2  P   0.008057
220789_s_at 148 A   0.870361
208967_s_at 930.5   A   0.129639
201058_s_at 12.8    A   0.99585
200942_s_at 1040.8  A   0.095215
212461_at   795.6   P   0.008057
219549_s_at 2017.1  P   0.018555
200595_s_at 396.5   P   0.037598
200998_s_at 1010.9  M   0.056152
211992_at   1913.6  P   0.00293
213086_s_at 559.2   P   0.037598
202154_x_at 445.3   A   0.171387
210027_s_at 594.9   A   0.5
200782_at   1274.5  P   0.018555
200876_s_at 380.6   P   0.037598
200701_at   1114.3  P   0.00293
213621_s_at 150.7   A   0.398926
38691_s_at  711.2   A   0.438361
200619_at   90.3    A   0.989258
206158_s_at 1910    P   0.001953
200652_at   1992.4  P   0.023926
213281_at   318.6   A   0.095215
208614_s_at 105.6   A   0.601074
214214_s_at 222.2   A   0.149658
